index,round,team,opponent_team,prev_team_ranking,team_ranking_diff,opponent_ranking,was_home,team_h_score,team_a_score,clean_sheets,goals_scored,season,team_name
176,1,4,20,,,,True,2,1,False,True,2016-17,CHE
0,1,20,4,,,,False,2,1,False,True,2016-17,WHU
291,2,2,20,2.0,0.0,2.0,False,1,0,False,False,2016-17,BOU
1,2,20,2,2.0,0.0,2.0,True,1,0,True,True,2016-17,WHU
1014,3,10,20,5.0,2.0,3.0,True,3,1,False,True,2016-17,MCI
2,3,20,10,3.0,-2.0,5.0,False,3,1,False,True,2016-17,WHU
141,4,18,20,2.0,0.0,2.0,False,2,4,False,True,2016-17,WAT
3,4,20,18,2.0,0.0,2.0,True,2,4,False,True,2016-17,WHU
4,5,20,19,2.0,0.0,2.0,False,4,2,False,True,2016-17,WHU
1459,5,19,20,2.0,0.0,2.0,True,4,2,False,True,2016-17,WBA
5,6,20,13,2.0,0.0,2.0,True,0,3,False,False,2016-17,WHU
1169,6,13,20,2.0,0.0,2.0,False,0,3,True,True,2016-17,SOU
258,7,12,20,2.0,0.0,2.0,False,1,1,False,True,2016-17,MID
6,7,20,12,2.0,0.0,2.0,True,1,1,False,True,2016-17,WHU
1845,8,5,20,3.0,1.0,2.0,True,0,1,False,False,2016-17,CRY
7,8,20,5,2.0,-1.0,3.0,False,0,1,True,True,2016-17,WHU
412,9,15,20,2.0,0.0,2.0,False,1,0,False,False,2016-17,SUD
8,9,20,15,2.0,0.0,2.0,True,1,0,True,True,2016-17,WHU
9,10,20,6,2.0,-2.0,4.0,False,2,0,False,False,2016-17,WHU
47,10,6,20,4.0,2.0,2.0,True,2,0,True,True,2016-17,EVE
3350,11,14,20,3.0,1.0,2.0,False,1,1,False,True,2016-17,STO
10,11,20,14,2.0,-1.0,3.0,True,1,1,False,True,2016-17,WHU
1302,12,17,20,4.0,2.0,2.0,True,3,2,False,True,2016-17,TOT
11,12,20,17,2.0,-2.0,4.0,False,3,2,False,True,2016-17,WHU
1581,13,11,20,4.0,2.0,2.0,True,1,1,False,True,2016-17,MUN
12,13,20,11,2.0,-2.0,4.0,False,1,1,False,True,2016-17,WHU
90,14,1,20,4.0,2.0,2.0,False,1,5,False,True,2016-17,ARS
13,14,20,1,2.0,-2.0,4.0,True,1,5,False,True,2016-17,WHU
14,15,20,9,2.0,-2.0,4.0,False,2,2,False,True,2016-17,WHU
380,15,9,20,4.0,2.0,2.0,True,2,2,False,True,2016-17,LIV
15,16,20,3,2.0,0.0,2.0,True,1,0,True,True,2016-17,WHU
848,16,3,20,2.0,0.0,2.0,False,1,0,False,False,2016-17,BUR
16,17,20,7,2.0,0.0,2.0,True,1,0,True,True,2016-17,WHU
230,17,7,20,2.0,0.0,2.0,False,1,0,False,False,2016-17,HUL
17,18,20,16,2.0,0.0,2.0,False,1,4,False,True,2016-17,WHU
1419,18,16,20,2.0,0.0,2.0,True,1,4,False,True,2016-17,SWA
18,19,20,8,3.0,1.0,2.0,False,1,0,False,False,2016-17,WHU
814,19,8,20,2.0,-1.0,3.0,True,1,0,True,True,2016-17,LEI
19,20,20,11,2.0,-2.0,4.0,True,0,2,False,False,2016-17,WHU
1588,20,11,20,4.0,2.0,2.0,False,0,2,True,True,2016-17,MUN
120,21,5,20,2.0,0.0,2.0,False,3,0,False,False,2016-17,CRY
20,21,20,5,2.0,0.0,2.0,True,3,0,True,True,2016-17,WHU
21,22,20,12,3.0,1.0,2.0,False,1,3,False,True,2016-17,WHU
273,22,12,20,2.0,-1.0,3.0,True,1,3,False,True,2016-17,MID
22,23,20,10,3.0,-1.0,4.0,True,0,4,False,False,2016-17,WHU
996,23,10,20,4.0,1.0,3.0,False,0,4,True,True,2016-17,MCI
23,24,20,13,3.0,0.0,3.0,False,1,3,False,True,2016-17,WHU
1187,24,13,20,3.0,0.0,3.0,True,1,3,False,True,2016-17,SOU
24,25,20,19,3.0,0.0,3.0,True,2,2,False,True,2016-17,WHU
1253,25,19,20,3.0,0.0,3.0,False,2,2,False,True,2016-17,WBA
163,26,18,20,2.0,-1.0,3.0,True,1,1,False,True,2016-17,WAT
25,26,20,18,3.0,1.0,2.0,False,1,1,False,True,2016-17,WHU
26,27,20,4,4.0,-1.0,5.0,True,1,2,False,True,2016-17,WHU
202,27,4,20,5.0,1.0,4.0,False,1,2,False,True,2016-17,CHE
27,28,20,2,3.0,1.0,2.0,False,3,2,False,True,2016-17,WHU
317,28,2,20,2.0,-1.0,3.0,True,3,2,False,True,2016-17,BOU
28,29,20,8,3.0,1.0,2.0,True,2,3,False,True,2016-17,WHU
823,29,8,20,2.0,-1.0,3.0,False,2,3,False,True,2016-17,LEI
243,30,7,20,2.0,-1.0,3.0,True,2,1,False,True,2016-17,HUL
29,30,20,7,3.0,1.0,2.0,False,2,1,False,True,2016-17,WHU
30,31,20,1,2.0,-2.0,4.0,False,3,0,False,False,2016-17,WHU
105,31,1,20,4.0,2.0,2.0,True,3,0,True,True,2016-17,ARS
31,32,20,16,2.0,0.0,2.0,True,1,0,True,True,2016-17,WHU
1433,32,16,20,2.0,0.0,2.0,False,1,0,False,False,2016-17,SWA
435,33,15,20,2.0,0.0,2.0,True,2,2,False,True,2016-17,SUD
32,33,20,15,2.0,0.0,2.0,False,2,2,False,True,2016-17,WHU
33,34,20,6,2.0,-1.0,3.0,True,0,0,True,False,2016-17,WHU
71,34,6,20,3.0,1.0,2.0,False,0,0,True,False,2016-17,EVE
34,35,20,14,2.0,-1.0,3.0,False,0,0,True,False,2016-17,WHU
3374,35,14,20,3.0,1.0,2.0,True,0,0,True,False,2016-17,STO
35,36,20,17,2.0,-3.0,5.0,True,1,0,True,True,2016-17,WHU
1325,36,17,20,5.0,3.0,2.0,False,1,0,False,False,2016-17,TOT
36,37,20,9,2.0,-2.0,4.0,True,0,4,False,False,2016-17,WHU
402,37,9,20,4.0,2.0,2.0,False,0,4,True,True,2016-17,LIV
37,38,20,3,2.0,0.0,2.0,False,1,2,False,True,2016-17,WHU
870,38,3,20,2.0,0.0,2.0,True,1,2,False,True,2016-17,BUR
1291,1,17,6,,,,False,1,1,False,True,2016-17,TOT
38,1,6,17,,,,True,1,1,False,True,2016-17,EVE
39,2,6,19,3.0,-2.0,5.0,False,1,2,False,True,2016-17,EVE
2832,2,19,6,5.0,2.0,3.0,True,1,2,False,True,2016-17,WBA
3342,3,14,6,2.0,-2.0,4.0,False,1,0,False,False,2016-17,STO
40,3,6,14,4.0,2.0,2.0,True,1,0,True,True,2016-17,EVE
407,4,15,6,2.0,-2.0,4.0,True,0,3,False,False,2016-17,SUD
41,4,6,15,4.0,2.0,2.0,False,0,3,True,True,2016-17,EVE
256,5,12,6,3.0,-1.0,4.0,False,3,1,False,True,2016-17,MID
42,5,6,12,4.0,1.0,3.0,True,3,1,False,True,2016-17,EVE
295,6,2,6,2.0,-3.0,5.0,True,1,0,True,True,2016-17,BOU
43,6,6,2,5.0,3.0,2.0,False,1,0,False,False,2016-17,EVE
1844,7,5,6,3.0,-1.0,4.0,False,1,1,False,True,2016-17,CRY
44,7,6,5,4.0,1.0,3.0,True,1,1,False,True,2016-17,EVE
981,8,10,6,5.0,1.0,4.0,True,1,1,False,True,2016-17,MCI
45,8,6,10,4.0,-1.0,5.0,False,1,1,False,True,2016-17,EVE
841,9,3,6,2.0,-2.0,4.0,True,2,1,False,True,2016-17,BUR
46,9,6,3,4.0,2.0,2.0,False,2,1,False,True,2016-17,EVE
186,11,4,6,4.0,0.0,4.0,True,5,0,True,True,2016-17,CHE
48,11,6,4,4.0,0.0,4.0,False,5,0,False,False,2016-17,EVE
1413,12,16,6,2.0,-1.0,3.0,False,1,1,False,True,2016-17,SWA
49,12,6,16,3.0,1.0,2.0,True,1,1,False,True,2016-17,EVE
1176,13,13,6,3.0,0.0,3.0,True,1,0,True,True,2016-17,SOU
50,13,6,13,3.0,0.0,3.0,False,1,0,False,False,2016-17,EVE
1582,14,11,6,4.0,1.0,3.0,False,1,1,False,True,2016-17,MUN
51,14,6,11,3.0,-1.0,4.0,True,1,1,False,True,2016-17,EVE
152,15,18,6,3.0,0.0,3.0,True,3,2,False,True,2016-17,WAT
52,15,6,18,3.0,0.0,3.0,False,3,2,False,True,2016-17,EVE
92,16,1,6,5.0,2.0,3.0,False,2,1,False,True,2016-17,ARS
